title;genres;release_date;platforms;involved_companies;rating;tag
"The Lord of the Rings: The Fellowship of the Ring";"Adventure";"2002-09-25";"Game Boy Advance";"Pocket Studios | Universal Interactive Studios | Sierra Entertainment";"69.8";"Der Herr der Ringe / The Lord of the Rings"
"The Lord of the Rings: The Two Towers";"";"2003-07-02";"Legacy Mobile Device";"";"";"Der Herr der Ringe / The Lord of the Rings"
"The Lord of the Rings: The Return of the King";"Arcade";"2003-12-31";"Game Boy Advance";"Vast Fame";"";"Der Herr der Ringe / The Lord of the Rings"
"The Lord of the Rings: War of the Ring";"Real Time Strategy (RTS) | Strategy | Adventure";"2003-11-08";"PC (Microsoft Windows)";"Liquid Entertainment | Sierra Entertainment";"67.1";"Der Herr der Ringe / The Lord of the Rings"
"The Lord of the Rings: The Battle for Middle-earth";"Real Time Strategy (RTS) | Strategy";"2004-12-06";"PC (Microsoft Windows)";"EA Los Angeles | Electronic Arts";"82.1";"Der Herr der Ringe / The Lord of the Rings"
"The Lord of the Rings: The Battle for Middle-earth II";"Real Time Strategy (RTS) | Strategy";"2006-03-02";"Xbox 360 | PC (Microsoft Windows)";"EA Los Angeles | Electronic Arts";"81.9";"Der Herr der Ringe / The Lord of the Rings"
"The Lord of the Rings: The Battle for Middle-earth II - The Rise of the Witch-king";"Fighting | Real Time Strategy (RTS) | Strategy | Adventure";"2006-11-28";"PC (Microsoft Windows)";"EA Los Angeles | Electronic Arts";"85.0";"Der Herr der Ringe / The Lord of the Rings"
"The Lord of the Rings: Conquest";"Hack and slash/Beat 'em up | Adventure";"2009-01-09";"Nintendo DS";"";"";"Der Herr der Ringe / The Lord of the Rings"
"The Lord of the Rings: War in the North";"Role-playing (RPG) | Strategy | Hack and slash/Beat 'em up | Adventure";"2011-11-01";"Xbox 360 | PC (Microsoft Windows) | PlayStation 3 | Mac";"Snowblind Studios | WB Games | Feral Interactive";"70.6";"Der Herr der Ringe / The Lord of the Rings"
"The Lord of the Rings Online";"Role-playing (RPG) | Adventure";"2007-04-24";"PC (Microsoft Windows) | Mac";"Codemasters | Midway Games | Turbine | Daybreak Game Company | Standing Stone Games | WB Games";"75.3";"Der Herr der Ringe / The Lord of the Rings"
"Middle-earth: Shadow of Mordor";"Role-playing (RPG) | Hack and slash/Beat 'em up | Adventure";"2014-09-30";"Xbox 360 | PlayStation 4 | Linux | PC (Microsoft Windows) | PlayStation 3 | Mac | Xbox One";"Monolith Productions | Behaviour Interactive | WB Games | Feral Interactive";"80.2";"Der Herr der Ringe / The Lord of the Rings"
"Middle-earth: Shadow of War Mobile";"Strategy | Tactical";"2017-09-27";"iOS | Android";"IUGO Mobile Entertainment | WB Games | Monolith Productions";"";"Der Herr der Ringe / The Lord of the Rings"
"The Lord of the Rings: Gollum";"Adventure";"2023-05-25";"PlayStation 5 | PlayStation 4 | PC (Microsoft Windows) | Xbox Series X|S | Xbox One | Nintendo Switch";"Nacon | Daedalic Entertainment";"40.3";"Der Herr der Ringe / The Lord of the Rings"
"The Lord of the Rings: Return to Moria";"Role-playing (RPG) | Adventure";"2023-10-24";"PlayStation 5 | PC (Microsoft Windows) | Xbox Series X|S";"Free Range Games | North Beach Games";"75.6";"Der Herr der Ringe / The Lord of the Rings"
"Harry Potter and the Chamber of Secrets";"";"2002-11-15";"PlayStation 2 | Xbox | Nintendo GameCube";"Electronic Arts";"74.6";"Harry Potter"
"Harry Potter: Quidditch World Cup";"Sport";"2003-10-28";"Game Boy Advance";"Magic Pockets | Electronic Arts";"";"Harry Potter"
"Harry Potter and the Prisoner of Azkaban";"";"2004-05-29";"PlayStation 2 | Xbox | Nintendo GameCube";"Electronic Arts";"80.5";"Harry Potter"
"Harry Potter and the Goblet of Fire";"Adventure";"2005-11-08";"Nintendo DS";"Magic Pockets | Electronic Arts";"";"Harry Potter"
"Harry Potter and the Order of the Phoenix";"Adventure";"";"Legacy Mobile Device";"";"";"Harry Potter"
"Harry Potter and the Half-Blood Prince";"Adventure";"";"Legacy Mobile Device";"EA";"";"Harry Potter"
"Harry Potter and the Deathly Hallows: Part 1";"";"2010-11-16";"Nintendo DS";"Electronic Arts | Full Fat";"";"Harry Potter"
"Harry Potter and the Deathly Hallows: Part 2";"";"2011-07-12";"Nintendo DS";"Electronic Arts | Full Fat";"";"Harry Potter"
"LEGO Harry Potter: Years 1-4";"Puzzle | Adventure";"2010-06-25";"iOS | Nintendo DS | PlayStation Portable | Android";"WB Games | TT Fusion";"";"Harry Potter"
"LEGO Harry Potter: Years 5-7";"Platform | Puzzle | Adventure";"2011-11-11";"Xbox 360 | PC (Microsoft Windows) | iOS | PlayStation 3 | PlayStation Vita | PlayStation Portable | Android | Wii | Mac";"Feral Interactive | Traveller's Tales | WB Games | TT Fusion";"74.6";"Harry Potter"
"Harry Potter for Kinect";"";"2012-11-09";"Xbox 360";"";"75.0";"Harry Potter"
"Book of Spells";"Role-playing (RPG) | Adventure | Indie";"2024-05-08";"PC (Microsoft Windows)";"";"";"Harry Potter"
"Wonderbook: Book of Potions";"Puzzle | Quiz/Trivia";"2013-11-12";"PlayStation 3";"SCE London Studio | Sony Computer Entertainment";"";"Harry Potter"
"Harry Potter: Hogwarts Mystery";"Point-and-click | Role-playing (RPG) | Simulator | Adventure";"2018-04-25";"iOS | Android";"Jam City | Portkey Games";"36.3";"Harry Potter"
"Harry Potter: Wizards Unite";"Role-playing (RPG) | Simulator";"2019-06-21";"iOS | Android";"Niantic Labs | Portkey Games | Warner Bros. Interactive Entertainment | WB Games San Francisco";"62.6";"Harry Potter"
"Harry Potter Puzzles & Spells";"Puzzle | Strategy";"2020-03-06";"PC (Microsoft Windows) | iOS | HyperScan | Android";"Zynga";"";"Harry Potter"
"Harry Potter: Magic Awakened";"Role-playing (RPG) | Adventure | Card & Board Game";"2023-06-27";"PC (Microsoft Windows) | iOS | Android";"NetEase Games | Warner Bros. Interactive Entertainment | Portkey Games";"";"Harry Potter"
"Hogwarts Legacy";"Role-playing (RPG) | Adventure";"2023-02-10";"PlayStation 5 | PlayStation 4 | PC (Microsoft Windows) | Xbox Series X|S | Xbox One | Nintendo Switch";"Portkey Games | Avalanche Software | Wizarding World | Sumo Nottingham | Shiver Entertainment";"80.4";"Harry Potter"
"Harry Potter: Quidditch Champions";"Sport | Arcade";"2024-09-03";"PlayStation 5 | PlayStation 4 | PC (Microsoft Windows) | Xbox Series X|S | Xbox One | Nintendo Switch";"Portkey Games | Unbroken Studios | Warner Bros. Games";"69.9";"Harry Potter"
"The Hobbit";"Platform | Adventure";"2003-11-11";"PC (Microsoft Windows) | PlayStation 2 | Xbox | Nintendo GameCube";"Sierra Entertainment | Vivendi Universal | Inevitable Entertainment";"72.1";"Der Hobbit / The Hobbit"
"LEGO The Hobbit";"Puzzle | Role-playing (RPG) | Adventure";"2014-04-08";"Xbox 360 | Wii U | PlayStation 4 | PC (Microsoft Windows) | PlayStation 3 | PlayStation Vita | Nintendo 3DS | Mac | Xbox One";"WB Games | MGM Interactive | Traveller's Tales | TT Fusion";"70.7";"Der Hobbit / The Hobbit"
"Jurassic Park: Operation Genesis";"Simulator | Strategy";"2003-03-10";"PC (Microsoft Windows) | PlayStation 2 | Xbox";"Universal Interactive Studios | Konami | Blue Tongue Entertainment";"72.2";"Jurassic Park / Jurassic World"
"Jurassic World: The Game";"Fighting | Simulator | Adventure";"2015-04-29";"iOS | Android";"Ludia, Inc.";"60.0";"Jurassic Park / Jurassic World"
"Jurassic World Evolution: Jurassic Park Edition";"";"2019-12-16";"Xbox One";"";"";"Jurassic Park / Jurassic World"
"Jurassic World Evolution 2";"Simulator | Strategy";"2021-11-09";"PlayStation 5 | PlayStation 4 | PC (Microsoft Windows) | Xbox Series X|S | Xbox One";"Frontier Developments";"70.7";"Jurassic Park / Jurassic World"
"LEGO Jurassic World";"Puzzle | Adventure";"2015-06-11";"Xbox 360 | Wii U | PlayStation 4 | PC (Microsoft Windows) | iOS | PlayStation 3 | PlayStation Vita | Nintendo 3DS | Mac | Xbox One";"WB Games | Warner Bros. Entertainment Inc. | TT Games | Feral Interactive";"76.1";"Jurassic Park / Jurassic World"
"Pirates of the Caribbean: The Legend of Jack Sparrow";"Adventure";"2006-06-28";"PC (Microsoft Windows) | PlayStation 2";"7 Studios | Ubisoft Entertainment | Bethesda Softworks";"52.8";"Fluch der Karibik / Pirates of the Caribbean"
"Pirates of the Caribbean: At World's End";"Adventure";"2007-05-22";"Nintendo DS";"Disney Interactive Studios | Eurocom Entertainment Software";"";"Fluch der Karibik / Pirates of the Caribbean"
"LEGO Pirates of the Caribbean: The Video Game";"Platform | Puzzle | Adventure";"2011-05-10";"Xbox 360 | PC (Microsoft Windows) | PlayStation 3 | Wii | Mac";"Traveller's Tales | TransGaming Inc. | Disney Interactive Studios";"76.1";"Fluch der Karibik / Pirates of the Caribbean"
"Pirates of the Caribbean Online";"Adventure";"2007-10-31";"PC (Microsoft Windows) | Mac";"Disney Online | SilverTree Media";"79.7";"Fluch der Karibik / Pirates of the Caribbean"
"Star Wars: Knights of the Old Republic";"Role-playing (RPG) | Adventure";"2003-07-15";"PC (Microsoft Windows) | iOS | Xbox | Android | Mac | Nintendo Switch";"BioWare | LucasArts | Activision | Aspyr Media";"90.7";"Star Wars"
"Star Wars Battlefront II";"Shooter | Adventure";"2017-11-17";"PlayStation 4 | PC (Microsoft Windows) | Xbox One";"EA Digital Illusions CE | Criterion Games | Electronic Arts | Motive Studios";"69.8";"Star Wars"
"Star Wars: The Force Unleashed";"Role-playing (RPG) | Hack and slash/Beat 'em up | Adventure";"2008-09-16";"Xbox 360 | PC (Microsoft Windows) | PlayStation 2 | iOS | PlayStation 3 | PlayStation Portable | N-Gage | Wii | Mac | Nintendo Switch";"LucasArts | THQ Wireless | Universomo | Aspyr Media | Aspyr Media | LucasArts | Krome Studios | LucasArts";"73.6";"Star Wars"
"Star Wars Jedi: Fallen Order";"Adventure";"2019-11-15";"PlayStation 5 | PlayStation 4 | PC (Microsoft Windows) | Google Stadia | Xbox Series X|S | Xbox One";"Respawn Entertainment | Panic Button Games | Electronic Arts";"80.6";"Star Wars"
"Star Wars Jedi: Survivor";"Adventure";"2023-04-28";"PlayStation 5 | PlayStation 4 | PC (Microsoft Windows) | Xbox Series X|S | Xbox One";"Electronic Arts | Respawn Entertainment";"82.6";"Star Wars"
"LEGO Star Wars: The Skywalker Saga";"Puzzle | Adventure";"2022-04-05";"PlayStation 5 | PlayStation 4 | PC (Microsoft Windows) | Xbox Series X|S | Xbox One | Nintendo Switch";"Traveller's Tales | WB Games";"79.9";"Star Wars"
"Star Wars: Squadrons";"Shooter | Simulator";"2020-10-01";"PlayStation VR | PlayStation 4 | PC (Microsoft Windows) | SteamVR | Windows Mixed Reality | Oculus Rift | Xbox Series X|S | Xbox One";"Electronic Arts | Motive Studios";"70.2";"Star Wars"
"Star Wars: The Old Republic";"Role-playing (RPG)";"2011-12-20";"PC (Microsoft Windows) | Mac";"Electronic Arts | LucasArts | BioWare Austin | BioWare Edmonton";"75.7";"Star Wars"
"Metro 2033";"Shooter | Role-playing (RPG)";"2010-03-16";"Xbox 360 | PC (Microsoft Windows)";"4A Games | THQ";"81.8";"Metro"
"Metro: Last Light";"Shooter";"2013-05-14";"Xbox 360 | Wii U | Linux | PC (Microsoft Windows) | PlayStation 3 | Mac";"Deep Silver | 4A Games";"82.5";"Metro"
"Metro Redux";"Shooter | Role-playing (RPG)";"2014-08-25";"PlayStation 4 | Linux | PC (Microsoft Windows) | Xbox Series X|S | Mac | Xbox One | Nintendo Switch";"Deep Silver | 4A Games | Koch Media";"82.8";"Metro"
"Metro Exodus";"Shooter | Adventure";"2019-02-15";"PlayStation 5 | PlayStation 4 | Linux | PC (Microsoft Windows) | Google Stadia | Xbox Series X|S | Mac | Xbox One";"4A Games | Deep Silver";"83.4";"Metro"
"GoldenEye: Rogue Agent";"Shooter";"2005-06-13";"Nintendo DS";"EA Orlando | Electronic Arts | n-Space";"";"James Bond"
"James Bond 007: Nightfire";"Shooter";"2002-11-28";"PC (Microsoft Windows) | Mac";"TransGaming Inc. | Gearbox Software | Aspyr Media | Electronic Arts";"";"James Bond"
"James Bond 007: Everything or Nothing";"Shooter";"2003-11-17";"Game Boy Advance";"Griptonite Games | Electronic Arts";"";"James Bond"
"James Bond 007: Blood Stone";"Shooter";"2010-11-02";"Xbox 360 | PC (Microsoft Windows) | PlayStation 3 | Nintendo DS";"Activision | Bizarre Creations | n-Space";"71.0";"James Bond"
"Transformers: War for Cybertron";"Shooter | Adventure";"2010-06-22";"Xbox 360 | PC (Microsoft Windows) | PlayStation 3";"High Moon Studios | Activision";"73.6";"Transformers"
"Transformers: Fall of Cybertron";"Shooter | Adventure";"2012-08-21";"Xbox 360 | PlayStation 4 | PC (Microsoft Windows) | PlayStation 3 | Xbox One";"Activision | High Moon Studios | FUN Labs | Mercenary Technology";"73.0";"Transformers"
"Transformers: Devastation";"Hack and slash/Beat 'em up";"2015-10-06";"Xbox 360 | PlayStation 4 | PC (Microsoft Windows) | PlayStation 3 | Xbox One";"PlatinumGames | Activision";"72.7";"Transformers"
"Transformers: The Game";"Shooter | Hack and slash/Beat 'em up";"2007-06-19";"PlayStation Portable";"Savage Entertainment | Activision";"";"Transformers"
"Transformers: Rise of the Dark Spark";"Role-playing (RPG) | Strategy";"2014-06-24";"Nintendo 3DS";"Edge of Reality | WayForward Technologies";"";"Transformers"
"Transformers: Battlegrounds";"Strategy | Arcade";"2020-10-22";"PlayStation 4 | PC (Microsoft Windows) | Google Stadia | Xbox One | Nintendo Switch";"Coatsink | Outright Games";"";"Transformers"
"Assassin's Creed Bundle: Assassin's Creed Valhalla, Assassin's Creed Odyssey, and Assassin's Creed Origins";"Role-playing (RPG) | Adventure";"2020-11-12";"Xbox Series X|S | Xbox One";"Ubisoft Entertainment";"";"Assassin’s Creed"
