english_title;german_title;rated;released;genre;director;writer;type;imdb_rating;tag
The Lord of the Rings: The Fellowship of the Ring;Der Herr der Ringe: Die Gefährten;PG-13;2001;Adventure, Drama, Fantasy;Peter Jackson;J.R.R. Tolkien, Fran Walsh, Philippa Boyens;movie;8.9;Der Herr der Ringe, Herr der Ringe, The Lord of the Rings, Lord of the Rings
The Lord of the Rings: The Two Towers;Der Herr der Ringe: Die zwei Türme;PG-13;2002;Adventure, Drama, Fantasy;Peter Jackson;J.R.R. Tolkien, Fran Walsh, Philippa Boyens;movie;8.8;Der Herr der Ringe, Herr der Ringe, The Lord of the Rings, Lord of the Rings
The Lord of the Rings: The Return of the King;Der Herr der Ringe: Die Rückkehr des Königs;PG-13;2003;Adventure, Drama, Fantasy;Peter Jackson;J.R.R. Tolkien, Fran Walsh, Philippa Boyens;movie;9.0;Der Herr der Ringe, Herr der Ringe, The Lord of the Rings, Lord of the Rings
The Hobbit: An Unexpected Journey;Der Hobbit: Eine unerwartete Reise;PG-13;2012;Adventure, Fantasy;Peter Jackson;Fran Walsh, Philippa Boyens, Peter Jackson;movie;7.8;Der Hobbit, The Hobbit, Hobbit
The Hobbit: The Desolation of Smaug;Der Hobbit: Smaugs Einöde;PG-13;2013;Adventure, Fantasy;Peter Jackson;Fran Walsh, Philippa Boyens, Peter Jackson;movie;7.8;Der Hobbit, The Hobbit, Hobbit
The Hobbit: The Battle of the Five Armies;Der Hobbit: Die Schlacht der Fünf Heere;R;2014;Adventure, Fantasy;Peter Jackson;Fran Walsh, Philippa Boyens, Peter Jackson;movie;7.4;Der Hobbit, The Hobbit, Hobbit
Star Wars: Episode I – The Phantom Menace;Star Wars: Episode I – Die dunkle Bedrohung;PG;1999;Action, Adventure, Fantasy;George Lucas;George Lucas;movie;6.5;Star Wars, Krieg der Sterne
Star Wars: Episode II – Attack of the Clones;Star Wars: Episode II – Angriff der Klonkrieger;PG;2002;Action, Adventure, Fantasy;George Lucas;George Lucas, Jonathan Hales;movie;6.6;Star Wars, Krieg der Sterne
Star Wars: Episode III – Revenge of the Sith;Star Wars: Episode III – Die Rache der Sith;PG-13;2005;Action, Adventure, Fantasy;George Lucas;George Lucas;movie;7.6;Star Wars, Krieg der Sterne
Star Wars: Episode IV – A New Hope;Star Wars: Episode IV – Eine neue Hoffnung;PG;1977;Action, Adventure, Fantasy;George Lucas;George Lucas;movie;8.6;Star Wars, Krieg der Sterne
