english_title;german_title;rated;released;genre;director;writer;type;imdb_rating;tag
The Lord of the Rings: The Fellowship of the Ring;Der Herr der Ringe: Die Gefährten;PG-13;19-Dec-01;Adventure, Drama, Fantasy;Peter Jackson;J.R.R. Tolkien, Fran Walsh, Philippa Boyens;movie;8.9;Der Herr der Ringe / The Lord of the Rings
The Lord of the Rings: The Two Towers;Der Herr der Ringe: Die zwei Türme;PG-13;18-Dec-02;Adventure, Drama, Fantasy;Peter Jackson;J.R.R. Tolkien, Fran Walsh, Philippa Boyens;movie;8.8;Der Herr der Ringe / The Lord of the Rings
The Lord of the Rings: The Return of the King;Der Herr der Ringe: Die Rückkehr des Königs;PG-13;17-Dec-03;Adventure, Drama, Fantasy;Peter Jackson;J.R.R. Tolkien, Fran Walsh, Philippa Boyens;movie;9.0;Der Herr der Ringe / The Lord of the Rings
Harry Potter and the Sorcerer's Stone;Harry Potter und der Stein der Weisen;PG;16-Nov-01;Adventure, Family, Fantasy;Chris Columbus;J.K. Rowling, Steve Kloves;movie;7.7;Harry Potter
Harry Potter and the Chamber of Secrets;Harry Potter und die Kammer des Schreckens;PG;15-Nov-02;Adventure, Family, Fantasy;Chris Columbus;J.K. Rowling, Steve Kloves;movie;7.4;Harry Potter
Harry Potter and the Prisoner of Azkaban;Harry Potter und der Gefangene von Askaban;PG;04-Jun-04;Adventure, Family, Fantasy;Alfonso Cuarón;J.K. Rowling, Steve Kloves;movie;7.9;Harry Potter
Harry Potter and the Goblet of Fire;Harry Potter und der Feuerkelch;PG-13;18-Nov-05;Adventure, Family, Fantasy;Mike Newell;Steve Kloves, J.K. Rowling;movie;7.7;Harry Potter
Harry Potter and the Order of the Phoenix;Harry Potter und der Orden des Ph�nix;PG-13;11-Jul-07;Action, Adventure, Family;David Yates;Michael Goldenberg, J.K. Rowling;movie;7.5;Harry Potter
Harry Potter and the Half-Blood Prince;Harry Potter und der Halbblutprinz;PG;15-Jul-09;Action, Adventure, Family;David Yates;Steve Kloves, J.K. Rowling;movie;7.6;Harry Potter
Harry Potter and the Deathly Hallows: Part 1;Harry Potter und die Heiligt�mer des Todes: Teil 1;PG-13;19-Nov-10;Adventure, Family, Fantasy;David Yates;Steve Kloves, J.K. Rowling;movie;7.7;Harry Potter
Harry Potter and the Deathly Hallows: Part 2;Harry Potter und die Heiligt�mer des Todes: Teil 2;PG-13;15-Jul-11;Adventure, Family, Fantasy;David Yates;Steve Kloves, J.K. Rowling;movie;8.1;Harry Potter
The Hobbit: An Unexpected Journey;Der Hobbit: Eine unerwartete Reise;PG-13;14-Dec-12;Adventure, Fantasy;Peter Jackson;Fran Walsh, Philippa Boyens, Peter Jackson;movie;7.8;Der Hobbit / The Hobbit
The Hobbit: The Desolation of Smaug;Der Hobbit: Smaugs Einöde;PG-13;13-Dec-13;Adventure, Fantasy;Peter Jackson;Fran Walsh, Philippa Boyens, Peter Jackson;movie;7.8;Der Hobbit / The Hobbit
The Hobbit: The Battle of the Five Armies;Der Hobbit: Die Schlacht der fünf Heere;R;17-Dec-14;Adventure, Fantasy;Peter Jackson;Fran Walsh, Philippa Boyens, Peter Jackson;movie;7.4;Der Hobbit / The Hobbit
Jurassic Park;Jurassic Park;PG-13;11-Jun-93;Action, Adventure, Sci-Fi;Steven Spielberg;Michael Crichton, David Koepp;movie;8.2;Jurassic Park / Jurassic World
The Lost World: Jurassic Park;Vergessene Welt: Jurassic Park;PG-13;22-May-97;Action, Adventure, Sci-Fi;Steven Spielberg;Michael Crichton, David Koepp;movie;6.6;Jurassic Park / Jurassic World
Jurassic Park III;Jurassic Park III;PG-13;18-Jul-01;Action, Adventure, Sci-Fi;Joe Johnston;Michael Crichton, Peter Buchman, Alexander Payne;movie;5.9;Jurassic Park / Jurassic World
Jurassic World;Jurassic World;PG-13;12-Jun-15;Action, Adventure, Sci-Fi;Colin Trevorrow;Rick Jaffa, Amanda Silver, Colin Trevorrow;movie;6.9;Jurassic Park / Jurassic World
Jurassic World: Fallen Kingdom;Jurassic World: Das gefallene Königreich;PG-13;22-Jun-18;Action, Adventure, Sci-Fi;J.A. Bayona;Derek Connolly, Colin Trevorrow, Michael Crichton;movie;6.1;Jurassic Park / Jurassic World
Jurassic World Dominion;Jurassic World: Ein neues Zeitalter;PG-13;10-Jun-22;Action, Adventure, Sci-Fi;Colin Trevorrow;Emily Carmichael, Colin Trevorrow, Derek Connolly;movie;5.6;Jurassic Park / Jurassic World
Pirates of the Caribbean: The Curse of the Black Pearl;Fluch der Karibik;PG-13;09-Jul-03;Action, Adventure, Fantasy;Gore Verbinski;Ted Elliott, Terry Rossio, Stuart Beattie;movie;8.1;Fluch der Karibik / Pirates of the Caribbean
Pirates of the Caribbean: Dead Man's Chest;Pirates of the Caribbean – Fluch der Karibik 2;PG-13;07-Jul-06;Action, Adventure, Fantasy;Gore Verbinski;Ted Elliott, Terry Rossio, Stuart Beattie;movie;7.4;Fluch der Karibik / Pirates of the Caribbean
Pirates of the Caribbean: At World's End;Pirates of the Caribbean – Am Ende der Welt;PG-13;25-May-07;Action, Adventure, Fantasy;Gore Verbinski;Ted Elliott, Terry Rossio, Stuart Beattie;movie;7.1;Fluch der Karibik / Pirates of the Caribbean
Pirates of the Caribbean: On Stranger Tides;Pirates of the Caribbean – Fremde Gezeiten;PG-13;20-May-11;Action, Adventure, Fantasy;Rob Marshall;Ted Elliott, Terry Rossio, Stuart Beattie;movie;6.6;Fluch der Karibik / Pirates of the Caribbean
Pirates of the Caribbean: Dead Men Tell No Tales;Pirates of the Caribbean – Salazars Rache;PG-13;26-May-17;Action, Adventure, Fantasy;Joachim Rønning, Espen Sandberg;Jeff Nathanson, Terry Rossio, Ted Elliott;movie;6.5;Fluch der Karibik / Pirates of the Caribbean
Star Wars: Episode I – The Phantom Menace;Star Wars: Episode I – Die dunkle Bedrohung;PG;19-May-99;Action, Adventure, Fantasy;George Lucas;George Lucas;movie;6.5;Star Wars
Star Wars: Episode II – Attack of the Clones;Star Wars: Episode II – Angriff der Klonkrieger;PG;16-May-02;Action, Adventure, Fantasy;George Lucas;George Lucas, Jonathan Hales;movie;6.6;Star Wars
Star Wars: Episode III – Revenge of the Sith;Star Wars: Episode III – Die Rache der Sith;PG-13;19-May-05;Action, Adventure, Fantasy;George Lucas;George Lucas;movie;7.6;Star Wars
Star Wars: Episode IV – A New Hope;Star Wars: Episode IV – Eine neue Hoffnung;PG;25-May-77;Action, Adventure, Fantasy;George Lucas;George Lucas;movie;8.6;Star Wars
Star Wars: Episode V – The Empire Strikes Back;Star Wars: Episode V – Das Imperium schlägt zurück;PG;18-Jun-80;Action, Adventure, Fantasy;Irvin Kershner;Leigh Brackett, Lawrence Kasdan, George Lucas;movie;8.7;Star Wars
Star Wars: Episode VI – Return of the Jedi;Star Wars: Episode VI – Die Rückkehr der Jedi-Ritter;PG;25-May-83;Action, Adventure, Fantasy;Richard Marquand;Lawrence Kasdan, George Lucas;movie;8.3;Star Wars
Star Wars: Episode VII – The Force Awakens;Star Wars: Episode VII – Das Erwachen der Macht;PG-13;18-Dec-15;Action, Adventure, Sci-Fi;J.J. Abrams;Lawrence Kasdan, J.J. Abrams, Michael Arndt;movie;7.8;Star Wars
Star Wars: Episode VIII – The Last Jedi;Star Wars: Episode VIII – Die letzten Jedi;PG-13;15-Dec-17;Action, Adventure, Fantasy;Rian Johnson;Rian Johnson, George Lucas;movie;6.9;Star Wars
Star Wars: Episode IX – The Rise of Skywalker;Star Wars: Episode IX – Der Aufstieg Skywalkers;PG-13;20-Dec-19;Action, Adventure, Fantasy;J.J. Abrams;Chris Terrio, J.J. Abrams, Derek Connolly;movie;6.4;Star Wars
Rogue One: A Star Wars Story;Rogue One: A Star Wars Story;PG-13;16-Dec-16;Action, Adventure, Sci-Fi;Gareth Edwards;Chris Weitz, Tony Gilroy, John Knoll;movie;7.8;Star Wars
Solo: A Star Wars Story;Solo: A Star Wars Story;PG-13;25-May-18;Action, Adventure, Sci-Fi;Ron Howard;Jonathan Kasdan, Lawrence Kasdan, George Lucas;movie;6.9;Star Wars
Dr. No;James Bond jagt Dr. No;PG;10-Oct-62;Action, Adventure, Thriller;Terence Young;Richard Maibaum, Johanna Harwood, Berkely Mather;movie;7.2;James Bond
From Russia with Love;Liebesgrüße aus Moskau;PG;27-May-64;Action, Adventure, Thriller;Terence Young;Richard Maibaum, Johanna Harwood, Ian Fleming;movie;7.3;James Bond
Goldfinger;Goldfinger;Approved;09-Jan-65;Action, Adventure, Thriller;Guy Hamilton;Richard Maibaum, Paul Dehn, Ian Fleming;movie;7.7;James Bond
Thunderball;Feuerball;Approved;22-Dec-65;Action, Adventure, Thriller;Terence Young;Richard Maibaum, John Hopkins, Jack Whittingham;movie;6.9;James Bond
You Only Live Twice;Man lebt nur zweimal;PG;13-Jun-67;Action, Adventure, Thriller;Lewis Gilbert;Harold Jack Bloom, Roald Dahl, Ian Fleming;movie;6.8;James Bond
On Her Majesty's Secret Service;Im Geheimdienst Ihrer Majestät;PG;19-Dec-69;Action, Adventure, Thriller;Peter R. Hunt;Simon Raven, Richard Maibaum, Ian Fleming;movie;6.7;James Bond
