"english_title";"german_title";"year";"rated";"released";"genre";"director";"writer";"type";"imdb_rating";"tag";"website"
"The Lord of the Rings: The Fellowship of the Ring";"Der Herr der Ringe: Die Gefährten";"2001";"PG-13";"19 Dec 2001";"Adventure, Drama, Fantasy";"Peter Jackson";"J.R.R. Tolkien, Fran Walsh, Philippa Boyens";"movie";"8.9";"Der Herr der Ringe, Herr der Ringe, The Lord of the Rings, Lord of the Rings";"N/A"
"The Lord of the Rings: The Two Towers";"Der Herr der Ringe: Die zwei Türme";"2002";"PG-13";"18 Dec 2002";"Adventure, Drama, Fantasy";"Peter Jackson";"J.R.R. Tolkien, Fran Walsh, Philippa Boyens";"movie";"8.8";"Der Herr der Ringe, Herr der Ringe, The Lord of the Rings, Lord of the Rings";"N/A"
"The Lord of the Rings: The Return of the King";"Der Herr der Ringe: Die Rückkehr des Königs";"2003";"PG-13";"17 Dec 2003";"Adventure, Drama, Fantasy";"Peter Jackson";"J.R.R. Tolkien, Fran Walsh, Philippa Boyens";"movie";"9.0";"Der Herr der Ringe, Herr der Ringe, The Lord of the Rings, Lord of the Rings";"N/A"
"The Hobbit: An Unexpected Journey";"Der Hobbit: Eine unerwartete Reise";"2012";"PG-13";"14 Dec 2012";"Adventure, Fantasy";"Peter Jackson";"Fran Walsh, Philippa Boyens, Peter Jackson";"movie";"7.8";"Der Hobbit, The Hobbit, Hobbit";"N/A"
"The Hobbit: The Desolation of Smaug";"Der Hobbit: Smaugs Einöde";"2013";"PG-13";"13 Dec 2013";"Adventure, Fantasy";"Peter Jackson";"Fran Walsh, Philippa Boyens, Peter Jackson";"movie";"7.8";"Der Hobbit, The Hobbit, Hobbit";"N/A"
"The Hobbit: The Battle of the Five Armies";"Der Hobbit: Die Schlacht der Fünf Heere";"2014";"R";"17 Dec 2014";"Adventure, Fantasy";"Peter Jackson";"Fran Walsh, Philippa Boyens, Peter Jackson";"movie";"7.4";"Der Hobbit, The Hobbit, Hobbit";"N/A"
"Star Wars: Episode I – The Phantom Menace";"Star Wars: Episode I – Die dunkle Bedrohung";"1999";"PG";"19 May 1999";"Action, Adventure, Fantasy";"George Lucas";"George Lucas";"movie";"6.5";"Star Wars, Krieg der Sterne";"N/A"
"Star Wars: Episode II – Attack of the Clones";"Star Wars: Episode II – Angriff der Klonkrieger";"2002";"PG";"16 May 2002";"Action, Adventure, Fantasy";"George Lucas";"George Lucas, Jonathan Hales";"movie";"6.6";"Star Wars, Krieg der Sterne";"N/A"
"Star Wars: Episode III – Revenge of the Sith";"Star Wars: Episode III – Die Rache der Sith";"2005";"PG-13";"19 May 2005";"Action, Adventure, Fantasy";"George Lucas";"George Lucas";"movie";"7.6";"Star Wars, Krieg der Sterne";"N/A"
"Star Wars: Episode IV – A New Hope";"Star Wars: Episode IV – Eine neue Hoffnung";"1977";"PG";"25 May 1977";"Action, Adventure, Fantasy";"George Lucas";"George Lucas";"movie";"8.6";"Star Wars, Krieg der Sterne";"N/A"
"Star Wars: Episode V – The Empire Strikes Back";"Star Wars: Episode V – Das Imperium schlägt zurück";"1980";"PG";"18 Jun 1980";"Action, Adventure, Fantasy";"Irvin Kershner";"Leigh Brackett, Lawrence Kasdan, George Lucas";"movie";"8.7";"Star Wars, Krieg der Sterne";"N/A"
